Småortskod 
 	Småort_Beteckning 
(Namn) 	Typ 
  	Landareal 
hektar 	Folkmängd  
2010.12.31 	Fritidshusomr 
andel 	Kommun 
Namn 	Kommun
kod
S0563	Risbo	-	10.56	70	0	Södertälje	0181
S0567	Rydsberg	-	26	67	0	Nynäshamn	0192
S0569	Saltarö	-	294.03	735	0.91	Värmdö	0120
S0571	Röcksta + Kvilunda	-	16.55	63	0	Norrtälje	0188
S0577	Sandhamn	-	26.34	85	0.91	Värmdö	0120
S0579	Sandvik	-	178.54	106	0.91	Nynäshamn	0192
S0583	Schweizerdalen	-	54.52	216	0.9	Haninge	0136
S0593	Skarpö	-	79.99	312	0.91	Vaxholm	0187
S0599	Skevik	-	11.8	78	0	Värmdö	0120
S0603	Skeppsbol	-	60.4	95	0.41	Österåker	0117
S0607	Slottshagen	-	26.78	87	0	Ekerö	0125
S0609	Smedsbol + Rysstorpet + Myrängen	-	11.37	90	0	Sigtuna	0191
S0611	Smara	-	157.63	119	0.75	Norrtälje	0188
S0612	Smedby	Ny	17.67	54	0	Upplands Väsby	0114
S0613	Smådalarö	-	55.68	148	0.69	Haninge	0136
S0615	Smidö	-	55.53	153	0.94	Upplands-Bro	0139
S0618	Vreten och Furulund	Ny	7.41	54	0	Södertälje	0181
S0619	Skilleby	-	7.86	63	0	Södertälje	0181
S0621	Solberga + Solåkrabyn	-	17.43	149	0	Södertälje	0181
S0623	Solbacken	-	12.07	61	0	Huddinge	0126
S0626	Spillersboda	-	92.19	272	0.57	Norrtälje	0188
S0627	Spersboda	-	73.52	81	0.92	Norrtälje	0188
S0629	Stav	-	30.81	135	0	Ekerö	0125
S0631	Stensättra tomtområde	-	62.78	96	0.95	Nykvarn	0140
S0635	Storbygården	-	65.38	60	0.91	Nynäshamn	0192
S0638	Steningehöjden	Ny	8.62	186	0	Sigtuna	0191
S0641	Stjärna + Aska	-	26.9	177	0	Södertälje	0181
S0643	Stora Sundby	-	17.49	71	0	Nynäshamn	0192
S0647	Storholmen	-	34.74	148	0.99	Vaxholm	0187
S0649	Styrsvik + Norrsunda	-	50.12	86	0.68	Värmdö	0120
S0651	Svensboda	-	42.47	58	0.86	Norrtälje	0188
S0653	Sundsör	-	16.45	87	0	Nykvarn	0140
S0654	Sundsör västra	Ny	9.85	111	0	Nykvarn	0140
S0655	Djupån och Lyckåsen västra	-	45.7	124	0.94	Huddinge	0126
S0657	Svalsta	-	25.99	98	0	Nynäshamn	0192
S0659	Svavelsön	-	33.75	93	0.88	Österåker	0117
S0661	Svartbro	-	22.89	107	0.95	Nykvarn	0140
S0663	Svärdsö	-	130.74	136	0.7	Nynäshamn	0192
S0669	Svartsjö	-	27.39	120	0	Ekerö	0125
S0671	Säby-Uthamra	-	29.97	118	0	Vallentuna	0115
S0674	Sånga Säby	Ny	8.28	50	0	Ekerö	0125
S0675	Sättra (norra delen)	-	54.37	111	0.94	Norrtälje	0188
S0677	Husby	-	24.63	71	0	Norrtälje	0188
S0679	Krogsta	-	13.83	65	0	Sigtuna	0191
S0681	Sälna	-	15.73	81	0	Sigtuna	0191
S0683	Sävastby+Lappdal	-	11.76	91	0	Österåker	0117
S0685	Sättra	-	43.76	86	0	Ekerö	0125
S0687	Söderby	-	6.67	66	0.48	Haninge	0136
S0689	Söderberga	-	55.03	177	0	Ekerö	0125
S0691	Söderby + Norrvreta	-	28.95	65	0	Norrtälje	0188
S0693	Söderby och Hemmingstorp	-	9.83	51	0	Upplands Väsby	0114
S0695	Söderby + Råby	-	25.17	71	0	Norrtälje	0188
S0696	Söderby östra	Ny	20.75	54	0.69	Haninge	0136
S0699	Söderbybacken	Ny	6.6	51	0	Norrtälje	0188
S0703	Åkerby	-	5.72	83	0	Södertälje	0181
S0705	Södernäs	-	29.92	126	0.83	Värmdö	0120
S0707	Södra Vindö	-	284.97	297	0.79	Värmdö	0120
S0709	Söräng	-	8.15	70	0	Södertälje	0181
S0710	Tegelvreten	Ny	14.26	58	0	Botkyrka	0127
S0711	Tomta	-	45.13	75	0.25	Norrtälje	0188
S0715	Torpa skog + Hoppet	-	403.34	228	0.93	Haninge	0136
S0719	Tranvik + Kattnäs	-	19.9	79	0	Norrtälje	0188
S0723	Trolldalen	-	7.75	103	0	Lidingö	0186
S0726	Tuna Domargården	Ny	1.78	67	0	Ekerö	0125
S0731	Tynningö	-	366.34	420	0.76	Vaxholm	0187
S0735	Törnby	-	18.61	70	0	Ekerö	0125
S0739	Utlida	-	29.97	96	0.86	Haninge	0136
S0743	Utveda	-	77.62	71	0.94	Norrtälje	0188
S0745	Venngarn	-	23.8	123	0	Sigtuna	0191
S0747	Utö	-	153.02	119	0.67	Haninge	0136
S0751	Vettershaga	-	34.48	74	0	Norrtälje	0188
S0753	Vifärna	-	26.19	123	0	Ekerö	0125
S0755	Utlida	-	12.61	56	0	Haninge	0136
S0759	Vika och Simpnäs	-	61.1	67	0.6	Norrtälje	0188
S0761	Viksäter	-	25.21	142	0.97	Södertälje	0181
S0763	Viksberg Holmen	-	14.97	85	1	Södertälje	0181
S0765	Vira bruk	-	18.89	52	0	Österåker	0117
S0769	Vita villorna	-	8.21	170	0	Botkyrka	0127
S0771	Vreta	-	18.7	62	0	Norrtälje	0188
S0775	Väsby + Härsby	-	19.36	83	0	Norrtälje	0188
S0779	Västanvik (södra delen)	-	72.98	118	0.85	Norrtälje	0188
S0783	Älby	-	16.01	55	0	Ekerö	0125
S0785	Bergshamra (södra delen)	-	118.54	316	0.9	Norrtälje	0188
S0787	Mälaröarnas waldorfskola	Ny	4.17	50	0	Ekerö	0125
S0789	Mälsta-Lingsberg	-	30.47	139	0	Vallentuna	0115
S0791	Ålsta	-	10.28	94	0	Upplands-Bro	0139
S0794	Nybygget	Ny	7.35	51	0	Vallentuna	0115
S0797	Sättra (södra delen)	-	73.52	171	0.52	Norrtälje	0188
S0799	Åkerö	-	54.58	89	0.57	Norrtälje	0188
